col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20
4nnyzsDBGuzRtr32,7589,5628,1890,ht3GKs0DeLlyKTnuaMl,8188,9637,7051,zrOYwQ0,6720,9117,9114,4356,4505,N2Uh9sRHwpEKZRxUX,8598,P8KvUR 2ZOeWa,iYlUAp0,5559,2218
ZtwG7lF5RZEjH8sD,5666,1328,4232,nGPrEVajjXfoej,4934,6182,8306,rTRfLn0qb2Fdwvvkn,4416,3271,6329,5727,8440,2YdJc5ljkrXSh,1228,7gPIZcsXW civz7LnQD,ZvmQwMTEuGuizM,5447,275
sq1cZiN4t85DeT6,3676,737,8834,9vNxctTSYhQtSW9hxG,7806,4902,347,cbXcPbSGM,6980,7768,5860,1862,3890,jE8ZY9N1YxYfkHiRl,5113,pc0rYu24pahm2KDfOo,0wNtxZn0EWPVl,9354,7661
egolttdwCAhuEl1Tww,636,7076,4039,DKC6D723DS 1,7611,6319,7758,eMcqbKQJNh4 YqcT,30,6783,3986,8554,1289,yCo8HMb,5771,9oCCJ9lnU1v4Ugx,F1ESBn uw,5348,1428
SHKgaPgitE7Bv jCAjG7,3258,4368,7559,9lCDxYfCaOMvTe,2874,4263,5596,TUjTHkB,7674,4888,8513,5273,5825,4x2ep,1517,Hif06AjdGoswNPdQP5I,4GPkry,668,3614
94QCNcHv764MoJSlP,3086,6351,7542,nGzMLL,2275,3181,1559,xCgviV5iVNfAH,3474,9287,9002,2807,788,S92kVYqwB,3629,d1EPd,XUo1ZlE6le1u6o0wTZ9,2111,4622
6U2aUukbIGxvCoKz,2029,9984,8869,Az7b3n3my,5974,5591,7067,IEx2 qGz4Zh2BRfbL,2836,5940,6983,4752,4859,96mtP1PaHHT1,5023,SB6cy8WUKGi1gwj8bqy,lY9zosEdY3hkjFBQ0,617,9333
F25LOx,4578,225,8340,z8ssmZXQ W0LJW,8802,8465,2661,lg3y8PCEa,1966,109,7805,8713,7596,VsL28W5Hr9YGKsM,7257,MTEjn69itID4bf9l,H6fGmUt6 r0fWVsfA9J,8492,7706
QWlk3d,3229,7865,7830,qwvTbCq BgBqZs3h,2528,7670,8413,8G4ao6j7lgYSW80ZuBS,6324,6838,4463,4370,6019,FgczUWQaCqmxiM5D,2306,aWfqFyQgEe,MMluiaPR IQ,1012,2448
SPCWIZkFE2,3442,5292,7764,0aZX6vdoXbROAPrZ0o,8199,8149,8982,QtAQrrmEM79mB,3853,7951,8370,759,5800,a 4dOAnsg,5727,vspDSPMb0RLz0BOsvq,xpIW7k8Dn,3343,4792
02Cyk,8177,5974,1071,vk7sVyPYJYMpwN G,5859,9193,1158,7ZFQlscXNbEHgZx0F,5399,7935,645,2933,7340,yDFiuduEBXU5,9497,EI13wHv4p4dtegs,7UFvcRhnpmxQ1KR,5469,7280
1yj5NeH,6407,1950,5705,x4rjO3,6968,5161,7910, 9payydnOBzr3clRXSUw,9638,3736,9974,478,5980,T2zqprv06teS,9433,MkrRUBV6 t,0PglW,9860,5434
nlRgmdzuIK5aLodlPX6,8586,8188,576,CpOVPnep371mj1,4162,270,680,QRcl2CmyMj438kRkh7j,9629,4003,8169,3611,5696,4bEy0oXsWORgO7rj1Qp,4806,oDcVu1Ovwqqnrlwlm5s, alXo,677,4180
J18rZ1WOquv39d8CjW,1194,8164,807,FXLNCyEtMRz98zxhn,5856,4328,9697,4cTKXJ9RJ8Y82WG1w,5976,8043,6100,5178,3595,yssPQuhC0k,6468,J8JGD2, 3Ul9pCq9U8aJTJUi,8667,4791
