col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20
7072,ADOrkz53E,8628,LI2IUa89VVjWTEHu,3387,7854,918, n4y0ujVzFWNMUw3767A,94,1793,2689,K7S8CjPBRZ,271,3918,3935,4672,0uGYPW PlU74eFrPJO,8474,ZC5p1WVbnHbSdeXZ03 ,5699
9035,w2PPPIkwOzTNtmJ,2541,90bM6Xjd,2983,4831,68,ySU90,2584,4622,3691,gvCSSf,1772,8026,6483,8465,JAEwRGIFIGch1Ya2x3He,503,p3dyjHwpqY,2009
7836,Eje2PXmasE,1520,kn2SUr4BHJ5W5p2rV,413,8311,8909,EtTRWHbY58sgx,3131,4823,4373,7QXw7GIDd,1760,6727,7203,3187,3UQDUEGf0NpacvrAN,4371,2aAG0X,5600
4346,pYBoHTVq0,1919,zY5g3TM,8598,8128,316,u2wCMPiZXU1K9vhgBdx,326,8334,8736,rrfOTbbhh05qdlz,211,424,628,9018,0CG9o5y,1203,3 wQYESkEA4EoqMPf,25
9474,ziq4e4jqhoEqRN,4105,2nlJitdzsZLD6kIiZTl,6355,3323,7836,4ubLHftJCiQ,7783,1350,9225,p5HtlOD0,4407,5966,9427,8924,4HspeUL5,4300,AB6q09tUuXWCO0lOcfQ,2055
3896,P2qMRGQ6yx,2490,V3QOaQ rDT5RZ,3302,248,8840,SBJrUy8khGz06FxAmYWe,661,4550,1198,o9omrWROgHy,6064,7532,1389,6421,V8t9VbHjhB,4723,3HtRSBq,5938
593,BDGPb5Fr2,9068,nz8jntPWQIlDVHHda3No,483,8159,7251,KHTXNhYwL16FKQ2,7017,8705,8655,34N5DTOxeErGt,7657,37,3840,2278,VVSJma9vonAmdhvoi1B,6553,JhXfrMw,3502
9783,xmbxc7wkmG51B0n,7423,A2aXT,2059,2541,464,gHsrV04VLS8,1657,9390,624,PkelWwNg47RfVHeHuCls,327,5534,6357,5163,MNHy0OuJR0urEhPXv2MQ,8863,zmfMx7COgBm,8787
4127,nmAskeDvji,1391,OejlNKrLXluRsq,9724,1263,2690,wRRGL7DLUdyob9xIqh,6790,4981,1307,e05BG9jy00sktbXSY jK,8912,5222,72,6061,LjptCeST,7595,1n7Qgh,301
5257,OWohqJ1cp17n8AJ,7329,Cn23zaWVa,8845,2783,8004,RzfwkAP8sZA7 KFFiU,3383,9265,6573,kmHMksFD,6850,1561,5492,280,I75UF5A8na2wMIm r,8776,lGRlccQ,9676
3560,Ej7pTtvDVo,4356,mkX60kTSSV ,3017,4951,4529,n01GUwFSXoxyqMXt9Cqb,4216,485,4597,Q4hkTMAKiz,3000,7804,837,210,mbjEx4WC3msNa,9556,X6AtfW19eaV,3919
6493,1W8VH8zrZf6CF2c,4584,gHq edNn,3621,8595,8235,CSTj5zJL0nUtW7Xw0AA,7795,5264,2658,QG0V055gl,6302,7684,2909,8242,Aduyh5VNomGajLKY9BOu,5731,NFERO9IqEC,4832
7994,fSFOD,9527,Nz61fMKI,7193,2957,9032,KLh5KxplTODJ DbdZUj7,8570,6231,837,3CjJF1vBD,2456,4965,7261,6238,vngXlD,7177,6mPTEN P 7khlP27UTm,8523
7503,HWhepKosmFnEIU7,7632,0y4YsxzfHMB68mz5,6895,4386,248,qmtObhmokCTx1dR629PV,4584,1820,5197,JVAWIbt,6773,6698,9049,8675,cMLjSrf2 CCSA,806,131ACiz 50aV,836
5659,z9Ly6X0,5243,9Qv0fbr,4053,9970,8449,eMZrLcs6e2x5zA vVnEV,3823,8190,7471,fxUKJk 9Wo3ECRT,8848,316,1875,1927,Tx4BB,1247,0zqqP3m4x Z5CgYeX,5777
8160,Nj3LFu,6110,tqDp3IkvkSu4 NsxQxQb,6414,9998,47,hgqVAGcfqag0Nu ,6017,3478,9999,wOEcrdljKSqj3,8623,9442,1276,8202,xVDI6mwWVuZPvgm,6651,tR1JJqACCs1EDKIhH2b,61
4019,1jF55MpxyRjJ4u9PV,2806,iX1N5du,5495,5955,5746,D5m9ZicO1hp4MtEBr3Y,7468,9665,768,RRObM,6832,7897,8489,4217,Kb6luqW0I9SQ,6093,Uq uBDFw7gYDecoe,1678
2983,xgu9hhp3gKeOaDA5Uwn5,4800,xxYTjKZyzku2bk,5326,6723,3788,gzmV9JfNS zadKQXX,8155,8078,9617,IuAp5vfdm1Jm1t,7493,8718,4042,8671,52JeOmu60wtw,8476,UZoBKTxErdCdE8,930
2720,fRdPhpUsHo0BbtZ,7311,afSoHCLjvDutIBEGKCP,1173,8257,4168,ECts5Ef,4740,7447,3846,v9yHx HHDpAG,2072,5580,6632,4524,7CrINIHTz8hUggbh,4105,3kwWHYp4rP7T1k2Wf1K,4708
4217,CK4btuUtjLynCKP94B,7691,TgKcwtC,4924,7020,4842,XNUyIl4H07LLIVE,3561,9028,1597,dj duhPFQBEnWhFJ2aO,4887,4063,1965,8611,ElhRVR3T,417,5woDMGqY96colVggx9u,4652
3969,4ddy5 36B tA5gsAp,9750,3Qv1mZyb48Mrwg,9664,2106,5123,TdWueUDz,8193,7537,6764,Iprf53Io6lhOUq,4616,3816,8330,2248,7lpmugn5,501,iCixD,8220
2351,NTUg5BS,7939,qoA3D,9568,1005,8371,NZhZIoeC,4982,7992,7255,reUpmIak0EwDgsvAtkz,5143,5840,4922,5743,bvKjNum kf,6571,QjqgMzzvadPrAp,4327
686,JWSPVs8benryD,6158,nECu8Xu8A sGB,5028,731,9813,j WpdHuprW,2528,1401,1012,JxPwGtzXYbjsGYVzTsrf,2614,6825,5582,5393,A9nAUN7k,1607,KbfcHlOEd34Bnp,4887
6472,PozeYEGXzaqdtPJnhI l,8764,tPoPavG5CYdt4,4745,3328,2967,Ahd4qDRic,9257,7612,4615,LRkv7Rws6NZ,8423,768,2345,5964,LaBB3,6701,t7xpt,3776
5266,MP9JrxDQZQ,3648,qM2g8Lkt7gQpP6UB,546,3311,8402,7hzyo1pF,7341,8846,6707,Mytdv,8152,4246,8942,3544,ouYuhO5wEQOGLD58Fd,3562,hyFtEbgAMOKaV,6173
632,wjTlI8zcwwOtYSeoRA8 ,1194,GjA8Kj5eH0,6331,1430,4767,yPJIzX1,7439,4884,6771,Pfvfc9bP328KIokoUO,4554,7486,3259,479,Ijsd vbyhaUcFo0MN,8622,jAxqDs76vcdyJviQ,6856
9767,uhbUud,9598,TAG3LDU9hCEE1PeEey,3956,979,8019,A718m3wkPkp22p,8976,9679,1734,r7aUT3XpfX4wrYPGoNc,9659,5517,8370,5525,hQcN2VyfZt1cE,4864, C2pygnj4C,7640
5696,zq6RKekmx1kYlSnS IwL,4480,Eu9B3nsFuyzFM2CS,499,8787,8997,BqSYysECp12UW8jC,1332,4134,826,uLRuSRmUVfl1OK,2477,6817,8715,855,y0Hp5 u82sECHa,1690,k5GgXqK,3129
4694,nkSu0LUx3iuDGWZ,2300, SQ4hFZ1RaP6fp0ua,5383,7143,7494,0fnKxP,7702,8440,4429,Ia6kiSX,4504,4637,3404,1553,O58Jw9U wf2dY0k VjN,1106,at7S34zD40xQ359I5k,1786
1603,Hz5LTk kik0c,5053,lAEOoX qZRx3,9894,1318,4627,Uprpozmw,1387,4509,3786,g426jUOmmlWxuQ Xv,7906,9396,2232,4849,6lALhQpN,2247,6DVf bB,9027
3206,MIrn SSpID,3799,bd0z5hQ,1972,6757,8317,3rqT4,9976,7289,7774,rMMeVEtx9RZvR8jzuxY,829,6295,9530,3760,FGLoLiy52bCR7UOJPLb4,7801,BsTrzJEMcrw1qS3B,5550
9766,oy7DgWvC1tkpMh2,5006,nxp tcf1F,9885,581,3053,eG7N5RiewBihSMlfhvO,2829,6047,1769,mRKivNoEyoN6,1823,7801,4108,1815,nLMujgIkyyb2,696,DU3UW,5847
5815,eglbMC9bfedc L8t8TKF,2111,2ILxHEPbbA3LjKc4Mt,8320,4018,162,3yhZlNNjD4god06ogXkL,2514,9770,8967,injq9YOa0O3,4131,647,5027,687,HHNgzMSw4Xf ,122,iJi1XjGqdxB,5555
