col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20
9235,3267,3704,9977,5146,3663,cnZHr9mYx4YxwYAaN,Ha4A8VJ21,Fsqyy,8271,6505,4892,8068,zpiRapMD7qWCR,5164,3834,4347,NWva3Dl,plffDVGf,5972
1978,3047,7595,5628,4078,3919,G4mKh2R5ERoF,yguwJc4GTq972,5j3XZp7QPRjWjW,2312,1702,5818,5532,ApR5pZwp2xi6,705,2738,4871,7fVL9a3,tpxV6ttgGOm4NluM,7237
6551,9098,8460,944,442,9285,5d9RK0v4S,bDKkdKlYKCtd,0CiTfLdt u38Y,7784,4265,7031,8510,fi jz0N4Rfd2IQYTpSV,5616,47,2671,18BgHE,kbNM3Ug8,8547
8717,9553,6416,3979,2921,2990,n1EX6,TH2ZRMv5,Eym2h3y4NMn5jgYoA,5967,3988,5375,5822,5rMFY0iFYo,5015,3836,3957,DerQ9mT,bgaU6qh,1738
3709,6711,2114,5298,6638,6152,XEDpnjQYacC,aXCVC8y84ygSl0CX,in1a7b Pk5pq a5spyg ,1195,7622,6537,8423,E8P6fGHoMCpI,1164,701,7976,nDk9T GdknL,zbHv9o2up,3780
4556,2358,3929,8625,9495,2968,cMEKtkjbap8TbNpsLC,cBLpMdZpPyh,ypZUhSJ6GodB,8032,5509,2073,3089,id6InCyxRdVJCQ2,4072,5512,4455,QU8zZ9zYOnp,1gzqFp1KLtYs7G,300
5116,8996,9300,6734,5862,5516,GYuqLlUYr,q76M4nf0W1fmQIv,N1RkS wHeHAXE,6096,1535,3701,9,AcFOHzHc6vFNjj4O,889,1073,7415,iubnI4ZYCK,kRry8vHzBN2x,4558
3472,6971,5675,8520,3959,7369,bwaur1qQ,NxlBnOVZoAX4,Osms4aqUocxwkvElR0,2753,1459,5859,1610,vfsBpCEiHb3kW57jR9D,804,8074,2824,Q2zHwad 1cJDOl,qrOsEFdBZe8fmLD,9139
2971,551,3510,1119,5018,7387,DOt77 wlI,0bgXl,frNzkP8eah4kDeAMItR,3164,2239,3944,6516,7VfBuAu,5372,8814,9586,c3lVMdNxUdCBjYI,H3nY UwiTT Z,9628
9097,2952,4668,6871,2638,1106,hPoOzuqKdwulBD,NSxKyXBeoN,hbgho0lkPuICeXX,8583,5711,6427,2368,Zp4mwJIQJnag7O ,5981,8385,7337,Jw7D6BD3Ee9zVq243Yo,1dUSp0,4351
9942,7338,5726,8396,9965,8573,qf6DA7ahPEeOVVn2SWvX,ImG3FJQJxE4Upo25,LNvdocpCD6TqcDY,3455,6434,5496,5308,Puj5rW1CKFIIl SS,3271,57,7318,iWm3 NWa22upHc55ZxY,dMTwolIsK2kL2G,3517
9480,2780,1253,8693,6761,9044,07Qr71g2xO,nl3JVzakZAlOU,ftJKZtkbRDMY,8142,9930,7648,2669,Dj7xjgUn TL4CjQ9H2vP,9106,9974,8945,tcPxCziX,2qcIp6DM6MxVyjO664,7303
2009,3205,7921,8402,2491,3707,qmNLaKsJ73UvWr,Ck3dNOTOytf,4FhOjFYnUMHDQ,2899,1970,9862,1843,X7pCRJa klCvC ,6112,2163,2196,tW6lhhmj,B3zF1kz3,1017
9920,4631,2827,1079,1837,4178,LKlidx8MwsbUYsF,9KkGeDwadj0roinkn,q1Kq ,256,2674,3726,4738,Ntxt09mIrZvjory7MRjP,3411,4039,1461,kseF6rrXrWwS anu2QS,7vsDI9SuHd,7083
2941,9863,8681,4317,5800,2996,oF22C,GgXIrhlOYed0qcPcN,2F0h6,533,2067,4793,310,VxhmISbYRT,7595,5929,6030,9eMgiPxKZL,zOiqxaWguuqinRLp0A,1220
861,1609,1978,1285,2131,4320,JJt1pSfHxq5Eo7OGb6N,ZhfwdVyF 28Xu5dH,tzJb7Y4HLrYg7FQ8F66q,27,5736,4488,4527,I0OBApeR,2060,9568,914,s3fXaTrsQeLFMYtcqXqe,vSzer,3541
216,7694,4064,9958,7403,1411,4k1Upu,wNqASaudMRfX8y,zEqfFM2Z1N6jG,8714,1111,4905,588,VVCTuDmQ,3014,3621,3660,PtaPyRAJoN1IGO,Bha8ra,5094
5347,6030,5824,5067,6884,4809,xsCaA,JANtvfEZORf,H0iK96YoJPSs,618,6911,9431,7726,eGWikQlZ1BWN4TQ8e8,1760,1876,8969,b WfDR,BzxuFGWpCd33ik4BJFPc,7738
912,1501,891,4071,2191,3881,iQgWnC8,ieYbXJk,yLl0bT6Xt,8450,5899,7129,9817,G7f9bYP,8066,5889,6362,HtwlWI045HiTNHp,yp1X SnmR,1986
7269,4585,5511,194,4016,8400,gGZm zX4 4erKiP,N8FAiaJ,rdjUS3aiLz,4398,6837,8182,7384,P9PKXNttfgIojw,7781,7081,2544,itc83a89t9LqG,B 3wO2O,4743
7433,6845,8614,3712,3027,4426,7EuGQZQ5RSt7BG3pv6ry,DmILknmrFaYT0,vckx0KolepFi,5021,5366,6326,9750,p9Qg17 AlTxrm8AyDo,4655,8431,1372,Erp9aP6uC,nl7sOltXZVOEGHXsSjeh,4651
7991,9498,8330,1585,9535,8356,MSGJN3R,4BsRx5MOD8B472d,ND5 UZMU7vjo,8059,3729,5048,2011,l1x1OHpgWJyX7R,5812,8258,7372,B0ZEuaY1,acImbLd80vjT dWu,381
8666,3029,1459,471,8861,7744,fvXZd6zr9Yc,ZOMLTAxl,lgv4h9dH DgJjabrCO9L,2701,6714,4273,7849,JbnsxG0zKBEypW3Y,1760,5207,1750,fzRWBVNliWFtf,Bsngz rEZwaiV,5807
6922,4552,3221,9445,4837,9723,dfs hh64PyPClBFl, kF4D,Tmxq9wRiMcmYZbpGL,8098,4080,9918,4949,huouStkbRSV VL,8700,1172,4744,y7aYfd0SEuo46,kehtTD,8431
7797,546,8263,6784,4128,8592,Pc4HinEeYPYViEV50ql,MhZK6 WSFQi4je28SCuQ,lEfwvQ2NOQ,3604,8997,9323,7433,uB re8KCZwqe,3273,7422,4054,fAn87Db33Vnm,DKN6ikRN j0KNur,4543
9950,2264,2739,3401,305,5085,O PQN vvx,BLt5Ewpj,Ha1SR,5141,6422,7656,8960,0FyrAYhavC2wARaCl,4758,9472,5064,RntKl8hJosgt,pxUWG,341
4672,190,9736,1877,67,1499,6Pxg1Xko4Cujt,e3UEi1I4xSiQvk5iHgtF,VxqL0hi31v,1773,2127,6627,8926,yUJgDYI1Z,9766,6490,7934,NI8ZHrcwFvJPVD8x4,HxHi6K29N16mN,6730
5288,4815,737,315,8241,5168,3GuZDKoV,SZWUxdHv8K11HgVS,Ct8ji9BLGjR1XTv,5222,5558,1572,1279,mZwWrhSMZGUwKtkN57,5073,2552,6851,2jQD7H8TF,N5 RLL5Gt5Z,7735
2425,155,4572,549,664,8037,Jvs3JF,wXxJSqTuPlmZ7z4,iFQV O,4639,186,1388,7797,sqStBB5VbgacuQx2t,7871,4748,4965,7AeNk,rpEJdvPl 1WV6HZB,8000
6850,2145,3555,1575,7425,7658,KJnIYRsE,Dna0 oU2pRg,hEjNW1u2XIFWMgtZB,9194,1735,912,7224,aHOnTwf,2242,4115,8961,QqRGMsd6AsgD,t9GwhkiW5hci7H7M,4330
569,9042,4880,8345,240,3393,iI3P4,GT2pPclnkW ,kTkFJlnktC8XB8,8699,3421,7595,1168,DbaQAPLZ7BgPzBk,4796,7346,7856,YnKF H3Q,P5KHdwJ1PK8D,9646
1222,7608,6369,1504,7945,748,oKaBHqTVL2,XPcgNab,ZWnF pqEgFNx,7029,2076,7022,8170,IBd1FGa910A2wkZJQM,7060,1327,7934,3HRttCgDqxc9m0b,wYPHTwjV3Ys8tcT,1433
991,7243,8268,773,9671,4393,9Et3V,3svV74 og49srtwM,6560gNV34KEEYRN4c0,9334,1544,1939,7866,quvwnUrwyWpTpA,2846,1358,8955,JaeyfUbBn6l9q,gbxb30eclfOC,3481
2501,6298,1959,9345,1817,4323,n1nKEHZCLulrW2ay,cWOl0,4npo6a,6890,6913,5129,2431,woN3TOm7G2JENmlH,9295,8286,6278,Po4lhukWliul,QSkWCd5AyprttOrOZR,343
8048,9385,9992,1991,1527,4314,va0Tiln9FXXIXCu30,JuXtoFwR0AxfHCq,SGWpJnYb4pOW,8340,7561,8864,5964,wQ5XhIgC,4835,9441,4379,b8xXgv6v,pwpgcWYzY1,8776
4495,3086,4110,1231,833,8895,sZUd4dNEmlB,MDCGLtdbK8x5,3uUdu4eqt6,716,6165,1671,6257,k9FCFz9Dsp6SGdn,8961,3314,3781,6kNMRt43GTXGX,Dy7cFA,4061
9852,2243,3140,3441,7391,8978,41u LmawMJCHmjxt5yu,hlWcf,LYTI79Bi1ZSXuTiX2s,2831,2606,6099,9474,CjlSid2,2532,8205,2887,BNsc60OGCP5s,oWckn763oWeQ6flUZiT3,4095
