CONFIG_config_id,CONFIG_config_name,CONFIG_config_value,CONFIG_config_status,CONFIG_col_1,CONFIG_col_2,CONFIG_col_3,CONFIG_col_4,CONFIG_col_5,CONFIG_col_6,CONFIG_col_7,CONFIG_col_8,CONFIG_col_9,CONFIG_col_10,CONFIG_col_11,CONFIG_col_12,CONFIG_col_13,CONFIG_col_14,CONFIG_col_15,CONFIG_col_16
315,298,489,384,599,540,CONFIG_K0VzCiKz,533,424,CONFIG_yH342vCkspVUAWbrc,839,CONFIG_F4E7N,627,CONFIG_qVtASy3Y7EUOhYjZ,957,CONFIG_NQm5xN3,523,745,CONFIG_n accicV5a4VAI,1030
396,116,195,434,1071,304,CONFIG_1rKkF0vyFioziRo,1115,383,CONFIG_GxZm,856,CONFIG_CL6AfrQizAf,604,CONFIG_zSuJNZf8AgtNW,524,CONFIG_ G5BUm,464,523,CONFIG_kSW6Jdwdz,329
104,792,871,670,596,653,CONFIG_1KNtFBa,487,713,CONFIG_VRb6YUQi6vccd6ywe,315,CONFIG_RCivBpg,1027,CONFIG_vQyQZ lHUWZZ9q6,1012,CONFIG_VrvxYo2Axui4,832,391,CONFIG_cBF3dxL,785
361,635,444,89,1076,1153,CONFIG_TXjWIWbhbMK5rKt,728,534,CONFIG_tfdzGE,388,CONFIG_Ikls9bAayVFVs,1003,CONFIG_0MaAS47PxwrCG1itsz,459,CONFIG_Oozo5pd2yxZaim5,1005,704,CONFIG_5wKjBtYzRjKvBny,438
283,387,632,866,749,559,CONFIG_bGu ZFRUSimPbUup2,1069,749,CONFIG_ykWsaLH0aYL5d1nqE,192,CONFIG_4QLK,304,CONFIG_UTArtWUJdRCfBF6,916,CONFIG_IQGZ l,1072,193,CONFIG_8yfLnfbK1mmX,331
606,240,778,315,469,537,CONFIG_ePD,637,669,CONFIG_5foy3O21kGLxnl8 ,729,CONFIG_MRsU  bRjLiNMKf,642,CONFIG_4qVnc,1043,CONFIG_ 2cwj7h0,1088,1150,CONFIG_oFt,433
793,723,453,176,259,658,CONFIG_2fwn3uzwTDA6QIMoMw,469,189,CONFIG_d62dFDdYMmzYin9u,317,CONFIG_xbFp6iC,305,CONFIG_KTUvAtA9zp eg1T,1091,CONFIG_MCeWA8GjIeq9Tu0TQP,917,867,CONFIG_qgS9FTTJvOFsQi,844
407,323,86,118,524,181,CONFIG_EgP,503,737,CONFIG_v5izDmVn1HwAElulqu,466,CONFIG_Whjgu3QVP,746,CONFIG_3X1a0BP0t uu,547,CONFIG_jNAb57EdN4354XuB,357,890,CONFIG_r65jUSd,278
367,291,97,150,503,317,CONFIG_06KYoxZUPBza3B,1003,666,CONFIG_eOAqBNFL8YFVUm,983,CONFIG_9EH9iI89H4OYqo,806,CONFIG_voRgywDFmY,582,CONFIG_iMXjmcxQX9HJ,748,1160,CONFIG_faqQ,622
842,957,225,450,288,1085,CONFIG_0WvqDWZbyUN61auYC,656,1152,CONFIG_waL0ccNIZFmQ7K0sp,1055,CONFIG_gnMmQW4vOw5WUkgZ,367,CONFIG_5zlU,661,CONFIG_Pbf3m,771,583,CONFIG_SHa4C8O9KkVW nhuI,1053
664,178,819,873,986,294,CONFIG_kC9K,217,1085,CONFIG_rRh7ybHO,331,CONFIG_mbpXgLCcTXjWvc0x,549,CONFIG_QxgkkXlgSXajhGFNK,610,CONFIG_qlZcO,882,334,CONFIG_czBqv LcwHzCXFw7l,901
274,250,347,959,696,967,CONFIG_gumwsfq34YWl1LY UV,235,641,CONFIG_Wij8h4mlrvWIxDRzF,188,CONFIG_zFv3JjL2jG  ,522,CONFIG_Uj21Zw6 H,524,CONFIG_ZPX2mU y1lR6,301,766,CONFIG_UXd3QR,707
983,600,51,887,657,561,CONFIG_kUh 26ZHcMntmcgcV,943,1000,CONFIG_TVNqJR,486,CONFIG_xFatucCyykKylO,834,CONFIG_YCU0Bhg8pM3YW,267,CONFIG_U0lWZr2K,1041,1012,CONFIG_soslNJZ5jZprlieh,707
353,131,867,38,708,714,CONFIG_0nQ5cNFlRCiuJ,383,542,CONFIG_RybkBMZ7p75,504,CONFIG_vU3,547,CONFIG_ Dw7,887,CONFIG_7bXqQBOjciu7pNx,647,375,CONFIG_ND24IAz,330
782,396,880,757,1074,621,CONFIG_XVhFhQHnU,355,927,CONFIG_mJc6rKAE0e8,338,CONFIG_ZRldxWUavKnoxS,1151,CONFIG_yev9 j,185,CONFIG_cCne,1136,168,CONFIG_IiFctwxkr0ACHN8TAz,454
864,534,464,551,779,858,CONFIG_KxTHYMTFpKzij7wN,989,900,CONFIG_Tt11mUPMqK q,426,CONFIG_Nj0DnknRF,586,CONFIG_ov4COGvK8qL,568,CONFIG_m mLiPtHEfTvhr06,1034,969,CONFIG_kSIL8snfZ,1149
542,303,224,173,572,184,CONFIG_Wx2Gr6LwUw,791,239,CONFIG_0SOXERIuqVEh6HldT,588,CONFIG_Z5HEor3nTO6,930,CONFIG_ijNdfAKrR,1070,CONFIG_KZ6RcgsWbqtjvk,1140,173,CONFIG_N0KO,500
375,747,144,504,360,169,CONFIG_qbeqK95g4dYp,494,559,CONFIG_kLc,871,CONFIG_v4X6xn,589,CONFIG_gxlX,655,CONFIG_LMkCfxX0,830,292,CONFIG_i9QrL0wNEQ6OV9sLv ,425
301,422,531,121,223,720,CONFIG_NlRHdSw,532,785,CONFIG_AQeJT0A8sb,527,CONFIG_qM2YIukaIn,768,CONFIG_r5f6SOX,1110,CONFIG_fDpP,388,370,CONFIG_K0x EZr9L6NOs,824
623,506,173,272,953,406,CONFIG_Q8Ix3spKOGbtZVEn,1008,277,CONFIG_7kcRX9cL,608,CONFIG_Kdd4dV iPtBiafR,414,CONFIG_wQBW,677,CONFIG_LPf,880,1161,CONFIG_obdzuqX2ec,418
359,607,562,644,824,1113,CONFIG_NrZsar,899,714,CONFIG_t2GtApmsu,1099,CONFIG_faXBJ27L35YfW,336,CONFIG_RgP0bytK 8JQ vc1,1073,CONFIG_F0uIx3yBfqa9Ze,620,854,CONFIG_t9Fk2xdVm3,1057
484,189,402,393,1055,829,CONFIG_uojvUi,975,1031,CONFIG_WtjuhxEtIF99r,935,CONFIG_oNsDNC3rgES6K7p,343,CONFIG_se6QyalZ4bj2eoiklG,891,CONFIG_t1pxba,655,1100,CONFIG_3g Nfu8,1067
693,107,477,805,515,505,CONFIG_iU ucqBilW,971,755,CONFIG_IkRSmhqLoRv2z,404,CONFIG_L1Xh,661,CONFIG_dz1n0nr6As50Kj2g3,573,CONFIG_OVZGRDlW0aQgh,220,843,CONFIG_fZFpcrbsYCWv IE,411
198,850,734,602,904,175,CONFIG_QjRyvea,948,835,CONFIG_Dwuvi,552,CONFIG_3RJ2Kobb9H kc,967,CONFIG_k37P8JIfWH,1006,CONFIG_B00PX,301,673,CONFIG_zcH4bh,817
905,210,651,522,551,583,CONFIG_4lz,908,760,CONFIG_lwDaMiMRCaepIlA,1130,CONFIG_RnoBTv,1018,CONFIG_Pssev9,777,CONFIG_OIw6Goi8yv ,762,892,CONFIG_OOrvc6IZTco,365
481,915,231,480,450,352,CONFIG_u USgxQHQr F4fX,458,967,CONFIG_1EtpeqwGi7MdXd,485,CONFIG_lySEDrla0L,953,CONFIG_2xZQL,647,CONFIG_7WE3zCY1Hu1,425,288,CONFIG_wJwuip4SP4wh,746
46,503,603,896,521,336,CONFIG_Txr5rqflX6,538,534,CONFIG_wJsQW3VghG5jLq8S,485,CONFIG_RbXzSnp1ARyZTlL0,198,CONFIG_LNjrbFanc3kSbs51Zo,902,CONFIG_ETAK,807,821,CONFIG_B1rziN0Z8wffNwbRCn,983
464,814,832,720,780,698,CONFIG_1bCdx,659,752,CONFIG_idLzYILJkMkegrzYP8,362,CONFIG_4XhbXFL,321,CONFIG_t0r,482,CONFIG_KNlZcNA,196,1025,CONFIG_7UQuehIz0,221
370,34,670,869,833,213,CONFIG_jXq,217,731,CONFIG_LWkuSSmEYMmW1,1166,CONFIG_szsCskD7blF,413,CONFIG_BBUcNeQubMrGnoIg,260,CONFIG_mGPjvwyuj3vYe,346,686,CONFIG_vYOerm7HMdNOUik3GR,415
777,406,126,21,497,945,CONFIG_ke54pL1wEsxVD,980,577,CONFIG_u9WX1hCRHD8cisl,843,CONFIG_FoqxFKWpfqUv0,825,CONFIG_Qwnt8INvypKjm,906,CONFIG_RQK1Z2b1MYeJ1TBYys,571,541,CONFIG_aVB8QAQyHmsbo,332
837,682,280,737,637,1085,CONFIG_5zf,815,1067,CONFIG_8eLK,498,CONFIG_kkod6giH,1048,CONFIG_z3f4WhDv,727,CONFIG_BJi,525,1001,CONFIG_dmG7Va3VlCeBC,568
772,301,496,156,1141,875,CONFIG_Nf5ebgtlh6pmoE6r4,1126,684,CONFIG_DZ 9lbCvxB,213,CONFIG_2vaJP,883,CONFIG_0MNCIpDgMWKGABlk0c,459,CONFIG_NfsVYG0,460,1067,CONFIG_poismJ,831
