col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20
6604,8243,BMyg5,7706,r2c1JmD6VovZl4Pu,1362,8536,7031,BNUky0lvdCnnUAu,8192,722,7983,5590,6YtZGBUAbinruFismQ2L,5Zpc2fSEP5KpIuc7S ,5889,8411,1270,0cF2xI4Xx4rq97rPSZ2,8007
8109,4317,X7kKVm92n2 gHIt,3334,JJ9Lqh,4823,8899,9108,Wm8Q2EQ,7111,9592,6662,4120,6CGf56rNRiJ73,enhTQB0GjCaJMHX3fVV,7918,5928,2198,W53mUYm8qZpo,3159
2184,6821,0XPqsPVD3OfiMu5Je7Id,1420,NQDTOUj,4434,8042,7781,z3I9Y4xpZKWusT,7283,971,1569,2367,6o  VXZNpjdM73kT,SsRl3vpEzx cJ1 MmvTu,186,4181,5101,dfG jE5olurwPIUCLh,737
6246,8343,haWQWiMiIsblNE,3961,JQMD5xnAta,1497,1804,4983,fe53X,3602,9295,8099,1900,i1tSQqZrVHuOmbH8SD,OxZXiV5rT,5728,8602,1634,7ic22 mfTejB1OjzrO,6106
5269,6784,NGFkiVKo3kKLYl,5459,176OwyBkZbl6QFBPPGR6,6127,4770,3382,EJlJW8DXE69,84,5438,1126,7255,tYCBLti,pXtbtesSkrwbp9VUL,2423,8095,8373,IPdKEmvsB,2267
9675,5385,eiseH,7106,yRahxqm7,6491,807,8891,8d40tqE,6832,4360,7617,2943,o6QEc,laGzaVHUzIBD,9910,5382,259,ZUuJR1vQHnKI,6168
1357,925,GIn8FnzsdS1,5173,cfs0pjxMTMIoigj,6829,1221,6882,fNU XzFtLBpWfKuo,4134,3277,7500,4168,ZlfwU,FL4t0u,2417,1402,4640,hQaAx7ktYlv,2201
8570,156,O jjPxQHM5SqmMSHuunk,9687,G7fF4X8qK,6226,3585,655,08cnQTCJQc,4402,7969,2945,2234,kfZBSUeuCAf,KXR3Y6wVah9c,2193,1910,3080,aqaOyfWeETTsh,130
8267,2223,W5hj2T8RLlMfBO95C,326,nB7Z1JoxO,1538,64,8585,nLJz4b8vvzq,9658,8541,22,5257,6mXnXyV,TVTa5CUAju,1358,5405,1215,b6tl90,2920
8391,9671,Ug8eI,4210,dUmp2sHu6AI4OG2,701,7228,2227,veJV2,7849,3755,7486,5606,eXmbSDhWKx,FfOJrvWGp,1624,9195,8519,wTApjKoRLuRO5jZB,8009
2698,5025,UuSNZQ,9727,B2BjRg4c1gvAp,1550,6169,2269,7  PvJF,1387,7599,8862,6584,qAZTTeBx9tdlv5,vubOq9Kyy7ificVoncx,8784,5084,1511,RBBHcWMjsuQsIg,9015
6967,6942,v4lKisYG5s0hhfJxmSJ,6117,5pTE7VF,5348,4040,4409,lgWnjZXAA,7486,6440,3496,4773, R8zc3SQD, nJzp8HAJ,8728,1660,8978,jwUn0Aag0W8T,2249
8100,650,DDF96q67,3239,1vWYEM,2395,3154,8768,pP4MiV,1994,3277,2470,1646,DlKF PS6p,IDcVyoLsCqJqqK eL0p,8539,1999,9202,iTWB0hxx,8015
4508,288,HpPRBt,8028,aqaXDSVRmA,7475,6350,4329,boe2J9mrQVM10T,3262,6186,8478,1704,wH2EseNrjN,G ysJYq5CLSn026,3993,7466,8765,NL8aNKjZA,5974
7206,4970,m09bHMOOujgo,6065,q5BVb2,6233,9052,8685,Qqj8hvw rAO8M,2268,5129,3232,2376,UdVXzIB6Ac g4GW0bRaD,9hgGAHT E0W,6319,3128,770,1p9JejVSNFfHEUUK,6306
6989,5759,a5k5TLp96yZFY,4988,Viy8OF799h,9984,8741,8599,1ehK7FQiDZpl0BJ6YKZf,4302,9762,4941,5064,zZq39VQyb40tQ56uJDZW,2WhIoiuOCzaU5I,5017,9690,3941,0wvEjjB3SfG,5807
