col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20
48pGbo8c0M2Lw7,2432,pN0uI5AjZxU,6316,3444,aCRv9BW4,8085,xStjetj6D9Dd5Z0Aw3,736,8669,4950,EiP8Gy,4231,273,7371,551,7465,wcSn6uaFxi2e,3600,7881
uSmoFgAc9FPU AN803A,4230,XQaIB9mrBS E26c4u 7 ,5003,6748,06NsP,126,LucTNHNzm7MUsuGAhZc,5745,9571,41,XnRb7pON,9704,6814,8409,5893,6716,Fn0tHwyqo67yBsAfCd,1123,1656
cxrACd5SBW,139,WNQLIUj,2581,8804,eyQ5ch7n75OKrsiKDJH,4657,6XPf4rqYnGND86,8467,465,5948,FcnWycqcjKBjJ,9205,8154,1303,6485,4748,BeeNSm7xurrekObcuR3,1945,4362
jlgZLRv,2867,pmfdIX8RVsIKagv2,4004,8210,VnouTwXdEXBqbDPGY,4949,X9rnjnidO1BY6Pwrc,2874,1953,8482,O0osGjocnI3zzkOf,2892,2924,8749,64,1118,nK5ENP1xL,7060,3566
VqEUpE1Vy,2480,43HzgRiEvaZFb,6173,7060,2kD7pg07DHczi,4218,BZBFdwMCYmCFN,4566,2857,6564,Tx X KWtNero7psG00ZZ,5483,4772,2420,184,8502,QGAhv1a7VMh,3563,7161
obkYjp4,6091,5TScJgr6mOJlnB,3642,3975,oNFEEFa1kNh,1058,cZLyZ,1409,7268,4043,5AP6UbT,410,3033,3741,7106,3369,PLXkAjAAhM0,3202,2848
xVBU82ps e2cAWyqkfPm,5066,l ABkl2ZKlB78cqpJC,9443,8681,WhPBeDz,3545, cL4hsXWJpT5x,2265,547,2790,Hx9A7xHE9IbtucCjbvO,1391,8599,6048,3954,9294,NXWEgIMgLYaofI,269,109
xvZoeV3FaW45pFvKLl7v,7149,HGT8MWH97isElTw reJ ,2334,8154,Z 9elIopBzNMrQKsJ,1997,yEcLK8NISu9,6493,9505,2327,2SfmVntNqlqCeC,1730,8297,6184,5845,2009,DkDbzgJhOAuv27E5psjd,2501,3866
tlD5brw8KITHYH,1763,IJ0go,8728,3076,64Y4Y,771,j1FdXMgf9AG4NkH,3066,7720,718,BMwH1yzG9XR,402,6253,7250,9777,7822,egPtzxZXvAL,2920,6274
6ryMc74,6879,0Ngabw,3172,1463,3woZYNrcnPEbt,1331,sT68b,1795,4820,6832,90TDKGXaJaI9M8TFcn,7401,7127,2693,9760,7219,IWqNUkJJPK ADa2Rm7VR,5937,4959
ggkwyXdIW51kmPzBNkF,3295,OnSD3K4r,4177,3854,6SDnQIDuzq,449,cJ3hxY8bxUr1yQQT5,5854,6334,316,sxqOTk,3720,9883,4132,864,2774,Oe99EmVwaypO,1693,6456
